year,month,day,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_mean_7,rolling_mean_3,sin_week,cos_week
2019,2,9,17.0,11.0,10.0,9.0,10.0,13.0,12.0,11.714285714285714,13.333333333333334,-0.9749279121818236,-0.2225209339563146
2019,2,10,12.0,17.0,11.0,10.0,9.0,10.0,13.0,11.0,12.333333333333334,-0.7818314824680299,0.6234898018587334
2019,2,11,8.0,12.0,17.0,11.0,10.0,9.0,10.0,12.0,12.333333333333334,0.0,1.0
2019,2,12,17.0,8.0,12.0,17.0,11.0,10.0,9.0,12.0,11.333333333333334,0.7818314824680298,0.6234898018587336
2019,2,13,9.0,17.0,8.0,12.0,17.0,11.0,10.0,12.0,12.0,0.9749279121818236,-0.22252093395631434
2019,2,14,10.0,9.0,17.0,8.0,12.0,17.0,11.0,12.0,10.0,0.43388373911755823,-0.900968867902419
2019,2,15,11.0,10.0,9.0,17.0,8.0,12.0,17.0,11.428571428571429,11.333333333333334,-0.433883739117558,-0.9009688679024191
2019,2,16,13.0,11.0,10.0,9.0,17.0,8.0,12.0,11.0,11.0,-0.9749279121818236,-0.2225209339563146
2019,2,17,9.0,13.0,11.0,10.0,9.0,17.0,8.0,10.857142857142858,9.666666666666666,-0.7818314824680299,0.6234898018587334
2019,2,18,7.0,9.0,13.0,11.0,10.0,9.0,17.0,9.285714285714286,7.333333333333333,0.0,1.0
2019,2,19,6.0,7.0,9.0,13.0,11.0,10.0,9.0,9.285714285714286,7.333333333333333,0.7818314824680298,0.6234898018587336
2019,2,20,9.0,6.0,7.0,9.0,13.0,11.0,10.0,8.857142857142858,7.333333333333333,0.9749279121818236,-0.22252093395631434
2019,2,21,7.0,9.0,6.0,7.0,9.0,13.0,11.0,10.0,11.666666666666666,0.43388373911755823,-0.900968867902419
2019,2,22,19.0,7.0,9.0,6.0,7.0,9.0,13.0,11.142857142857142,15.666666666666666,-0.433883739117558,-0.9009688679024191
2019,2,23,21.0,19.0,7.0,9.0,6.0,7.0,9.0,11.285714285714286,16.666666666666668,-0.9749279121818236,-0.2225209339563146
2019,2,24,10.0,21.0,19.0,7.0,9.0,6.0,7.0,11.285714285714286,12.666666666666666,-0.7818314824680299,0.6234898018587334
2019,2,25,7.0,10.0,21.0,19.0,7.0,9.0,6.0,11.714285714285714,8.666666666666666,0.0,1.0
2019,2,26,9.0,7.0,10.0,21.0,19.0,7.0,9.0,12.857142857142858,11.0,0.7818314824680298,0.6234898018587336
2019,2,27,17.0,9.0,7.0,10.0,21.0,19.0,7.0,13.571428571428571,12.666666666666666,0.9749279121818236,-0.22252093395631434
2019,2,28,12.0,17.0,9.0,7.0,10.0,21.0,19.0,12.714285714285714,14.0,0.43388373911755823,-0.900968867902419
2019,3,1,13.0,12.0,17.0,9.0,7.0,10.0,21.0,10.714285714285714,10.666666666666666,-0.433883739117558,-0.9009688679024191
2019,3,2,7.0,13.0,12.0,17.0,9.0,7.0,10.0,11.142857142857142,11.0,-0.9749279121818236,-0.2225209339563146
2019,3,3,13.0,7.0,13.0,12.0,17.0,9.0,7.0,11.142857142857142,9.0,-0.7818314824680299,0.6234898018587334
2019,3,4,7.0,13.0,7.0,13.0,12.0,17.0,9.0,12.142857142857142,12.0,0.0,1.0
2019,3,5,16.0,7.0,13.0,7.0,13.0,12.0,17.0,11.285714285714286,11.333333333333334,0.7818314824680298,0.6234898018587336
2019,3,6,11.0,16.0,7.0,13.0,7.0,13.0,12.0,11.714285714285714,14.0,0.9749279121818236,-0.22252093395631434
2019,3,7,15.0,11.0,16.0,7.0,13.0,7.0,13.0,11.285714285714286,12.0,0.43388373911755823,-0.900968867902419
2019,3,8,10.0,15.0,11.0,16.0,7.0,13.0,7.0,11.857142857142858,12.0,-0.433883739117558,-0.9009688679024191
2019,3,9,11.0,10.0,15.0,11.0,16.0,7.0,13.0,11.571428571428571,10.666666666666666,-0.9749279121818236,-0.2225209339563146
2019,3,10,11.0,11.0,10.0,15.0,11.0,16.0,7.0,11.571428571428571,9.666666666666666,-0.7818314824680299,0.6234898018587334
2019,3,11,7.0,11.0,11.0,10.0,15.0,11.0,16.0,11.142857142857142,10.333333333333334,0.0,1.0
2019,3,12,13.0,7.0,11.0,11.0,10.0,15.0,11.0,11.0,10.0,0.7818314824680298,0.6234898018587336
2019,3,13,10.0,13.0,7.0,11.0,11.0,10.0,15.0,11.285714285714286,13.333333333333334,0.9749279121818236,-0.22252093395631434
2019,3,14,17.0,10.0,13.0,7.0,11.0,11.0,10.0,11.142857142857142,12.0,0.43388373911755823,-0.900968867902419
2019,3,15,9.0,17.0,10.0,13.0,7.0,11.0,11.0,12.285714285714286,15.0,-0.433883739117558,-0.9009688679024191
2019,3,16,19.0,9.0,17.0,10.0,13.0,7.0,11.0,12.571428571428571,13.666666666666666,-0.9749279121818236,-0.2225209339563146
2019,3,17,13.0,19.0,9.0,17.0,10.0,13.0,7.0,12.571428571428571,13.0,-0.7818314824680299,0.6234898018587334
2019,3,18,7.0,13.0,19.0,9.0,17.0,10.0,13.0,13.0,12.0,0.0,1.0
2019,3,19,16.0,7.0,13.0,19.0,9.0,17.0,10.0,13.285714285714286,11.666666666666666,0.7818314824680298,0.6234898018587336
2019,3,20,12.0,16.0,7.0,13.0,19.0,9.0,17.0,12.428571428571429,13.0,0.9749279121818236,-0.22252093395631434
2019,3,21,11.0,12.0,16.0,7.0,13.0,19.0,9.0,14.285714285714286,15.0,0.43388373911755823,-0.900968867902419
2019,3,22,22.0,11.0,12.0,16.0,7.0,13.0,19.0,13.428571428571429,15.333333333333334,-0.433883739117558,-0.9009688679024191
2019,3,23,13.0,22.0,11.0,12.0,16.0,7.0,13.0,13.571428571428571,16.333333333333332,-0.9749279121818236,-0.2225209339563146
2019,3,24,14.0,13.0,22.0,11.0,12.0,16.0,7.0,13.857142857142858,12.0,-0.7818314824680299,0.6234898018587334
2019,3,25,9.0,14.0,13.0,22.0,11.0,12.0,16.0,12.714285714285714,10.333333333333334,0.0,1.0
2019,3,26,8.0,9.0,14.0,13.0,22.0,11.0,12.0,12.285714285714286,8.666666666666666,0.7818314824680298,0.6234898018587336
2019,3,27,9.0,8.0,9.0,14.0,13.0,22.0,11.0,11.857142857142858,8.333333333333334,0.9749279121818236,-0.22252093395631434
2019,3,28,8.0,9.0,8.0,9.0,14.0,13.0,22.0,10.571428571428571,10.0,0.43388373911755823,-0.900968867902419
2019,3,29,13.0,8.0,9.0,8.0,9.0,14.0,13.0,9.571428571428571,9.0,-0.433883739117558,-0.9009688679024191
2019,3,30,6.0,13.0,8.0,9.0,8.0,9.0,14.0,9.142857142857142,10.0,-0.9749279121818236,-0.2225209339563146
2019,3,31,11.0,6.0,13.0,8.0,9.0,8.0,9.0,8.571428571428571,7.333333333333333,-0.7818314824680299,0.6234898018587334
2019,4,1,5.0,11.0,6.0,13.0,8.0,9.0,8.0,8.714285714285714,8.333333333333334,0.0,1.0
2019,4,2,9.0,5.0,11.0,6.0,13.0,8.0,9.0,9.571428571428571,9.666666666666666,0.7818314824680298,0.6234898018587336
2019,4,3,15.0,9.0,5.0,11.0,6.0,13.0,8.0,9.285714285714286,10.0,0.9749279121818236,-0.22252093395631434
2019,4,4,6.0,15.0,9.0,5.0,11.0,6.0,13.0,9.0,10.666666666666666,0.43388373911755823,-0.900968867902419
2019,4,5,11.0,6.0,15.0,9.0,5.0,11.0,6.0,10.142857142857142,10.333333333333334,-0.433883739117558,-0.9009688679024191
2019,4,6,14.0,11.0,6.0,15.0,9.0,5.0,11.0,10.0,11.666666666666666,-0.9749279121818236,-0.2225209339563146
2019,4,7,10.0,14.0,11.0,6.0,15.0,9.0,5.0,10.142857142857142,10.0,-0.7818314824680299,0.6234898018587334
2019,4,8,6.0,10.0,14.0,11.0,6.0,15.0,9.0,10.714285714285714,9.666666666666666,0.0,1.0
2019,4,9,13.0,6.0,10.0,14.0,11.0,6.0,15.0,11.0,12.0,0.7818314824680298,0.6234898018587336
2019,4,10,17.0,13.0,6.0,10.0,14.0,11.0,6.0,12.857142857142858,16.333333333333332,0.9749279121818236,-0.22252093395631434
2019,4,11,19.0,17.0,13.0,6.0,10.0,14.0,11.0,13.285714285714286,16.666666666666668,0.43388373911755823,-0.900968867902419
2019,4,12,14.0,19.0,17.0,13.0,6.0,10.0,14.0,13.142857142857142,15.333333333333334,-0.433883739117558,-0.9009688679024191
