year,weekofyear,lag_1,lag_2,lag_3,lag_52,rolling_mean_3
2019,48,85.0,90.0,91.0,73.0,79.33333333333333
2019,49,63.0,85.0,90.0,63.0,81.33333333333333
2019,50,96.0,63.0,85.0,69.0,84.66666666666667
2019,51,95.0,96.0,63.0,62.0,95.0
2019,52,94.0,95.0,96.0,39.0,86.0
2019,1,497.0,632.0,665.0,431.0,509.6666666666667
2019,2,400.0,497.0,632.0,397.0,440.0
2019,3,423.0,400.0,497.0,561.0,450.6666666666667
2019,4,529.0,423.0,400.0,559.0,513.0
2019,5,587.0,529.0,423.0,573.0,557.6666666666666
2019,6,557.0,587.0,529.0,614.0,582.0
2019,7,602.0,557.0,587.0,651.0,591.3333333333334
2019,8,615.0,602.0,557.0,598.0,606.3333333333334
2019,9,602.0,615.0,602.0,607.0,581.0
2019,10,526.0,602.0,615.0,557.0,562.3333333333334
2019,11,559.0,526.0,602.0,574.0,552.0
2019,12,571.0,559.0,526.0,559.0,562.6666666666666
2019,13,558.0,571.0,559.0,422.0,530.6666666666666
2019,14,463.0,558.0,571.0,631.0,556.3333333333334
2019,15,648.0,463.0,558.0,562.0,571.3333333333334
2019,16,603.0,648.0,463.0,591.0,556.6666666666666
2019,17,419.0,603.0,648.0,599.0,535.0
2019,18,583.0,419.0,603.0,491.0,520.3333333333334
2019,19,559.0,583.0,419.0,617.0,609.3333333333334
2019,20,686.0,559.0,583.0,574.0,601.0
2019,21,558.0,686.0,559.0,634.0,615.6666666666666
2019,22,603.0,558.0,686.0,584.0,557.0
2019,23,510.0,603.0,558.0,545.0,570.0
2019,24,597.0,510.0,603.0,561.0,576.6666666666666
2019,25,623.0,597.0,510.0,602.0,599.6666666666666
2019,26,579.0,623.0,597.0,506.0,581.0
2019,27,541.0,579.0,623.0,464.0,548.3333333333334
2019,28,525.0,541.0,579.0,571.0,551.0
2019,29,587.0,525.0,541.0,583.0,582.6666666666666
2019,30,636.0,587.0,525.0,575.0,615.0
2019,31,622.0,636.0,587.0,605.0,634.0
2019,32,644.0,622.0,636.0,594.0,652.3333333333334
2019,33,691.0,644.0,622.0,655.0,674.3333333333334
2019,34,688.0,691.0,644.0,577.0,645.6666666666666
2019,35,558.0,688.0,691.0,584.0,632.6666666666666
2019,36,652.0,558.0,688.0,626.0,623.3333333333334
2019,37,660.0,652.0,558.0,586.0,642.0
2019,38,614.0,660.0,652.0,613.0,656.3333333333334
2019,39,695.0,614.0,660.0,649.0,648.6666666666666
2019,40,637.0,695.0,614.0,608.0,655.0
2019,41,633.0,637.0,695.0,583.0,634.3333333333334
2019,42,633.0,633.0,637.0,542.0,626.0
2019,43,612.0,633.0,633.0,579.0,636.3333333333334
2019,44,664.0,612.0,633.0,667.0,635.0
2019,45,629.0,664.0,612.0,573.0,636.3333333333334
2019,46,616.0,629.0,664.0,634.0,603.6666666666666
2019,47,566.0,616.0,629.0,647.0,606.6666666666666
2019,48,638.0,566.0,616.0,514.0,557.3333333333334
2019,49,468.0,638.0,566.0,655.0,620.3333333333334
2019,50,755.0,468.0,638.0,665.0,632.3333333333334
2019,51,674.0,755.0,468.0,632.0,704.0
2019,52,683.0,674.0,755.0,497.0,614.0
2019,4,1.0,1.0,1.0,0.0,1.0
2019,8,1.0,1.0,1.0,0.0,1.0
2019,18,1.0,1.0,1.0,0.0,1.3333333333333333
2019,24,2.0,1.0,1.0,0.0,1.3333333333333333
2019,31,1.0,2.0,1.0,0.0,1.3333333333333333
2019,34,1.0,1.0,2.0,0.0,1.0
2019,43,1.0,1.0,1.0,0.0,1.0
2019,48,1.0,1.0,1.0,0.0,1.3333333333333333
2019,1,62.0,65.0,78.0,96.0,74.66666666666667
2019,2,97.0,62.0,65.0,80.0,71.0
2019,3,54.0,97.0,62.0,122.0,76.33333333333333
2019,4,78.0,54.0,97.0,80.0,71.0
2019,5,81.0,78.0,54.0,68.0,72.66666666666667
2019,6,59.0,81.0,78.0,62.0,64.0
2019,7,52.0,59.0,81.0,95.0,77.66666666666667
2019,8,122.0,52.0,59.0,74.0,88.33333333333333
2019,9,91.0,122.0,52.0,68.0,103.66666666666667
2019,10,98.0,91.0,122.0,78.0,84.0
2019,11,63.0,98.0,91.0,95.0,78.33333333333333
2019,12,74.0,63.0,98.0,89.0,64.66666666666667
2019,13,57.0,74.0,63.0,67.0,64.66666666666667
2019,14,63.0,57.0,74.0,83.0,68.33333333333333
2019,15,85.0,63.0,57.0,81.0,79.0
2019,16,89.0,85.0,63.0,63.0,76.0
2019,17,54.0,89.0,85.0,84.0,72.66666666666667
2019,18,75.0,54.0,89.0,96.0,60.666666666666664
2019,19,53.0,75.0,54.0,90.0,76.33333333333333
2019,20,101.0,53.0,75.0,75.0,83.0
2019,21,95.0,101.0,53.0,77.0,90.0
2019,22,74.0,95.0,101.0,98.0,84.0
2019,23,83.0,74.0,95.0,93.0,75.33333333333333
2019,24,69.0,83.0,74.0,80.0,76.33333333333333
2019,25,77.0,69.0,83.0,82.0,70.0
2019,26,64.0,77.0,69.0,97.0,75.33333333333333
2019,27,85.0,64.0,77.0,83.0,76.33333333333333
2019,28,80.0,85.0,64.0,80.0,92.0
2019,29,111.0,80.0,85.0,88.0,107.0
2019,30,130.0,111.0,80.0,90.0,116.33333333333333
2019,31,108.0,130.0,111.0,79.0,126.33333333333333
2019,32,141.0,108.0,130.0,77.0,118.66666666666667
2019,33,107.0,141.0,108.0,79.0,127.33333333333333
2019,34,134.0,107.0,141.0,79.0,119.66666666666667
2019,35,118.0,134.0,107.0,74.0,111.33333333333333
2019,36,82.0,118.0,134.0,95.0,114.33333333333333
2019,37,143.0,82.0,118.0,82.0,123.33333333333333
2019,38,145.0,143.0,82.0,68.0,137.33333333333334
2019,39,124.0,145.0,143.0,105.0,138.33333333333334
2019,40,146.0,124.0,145.0,65.0,132.0
2019,41,126.0,146.0,124.0,71.0,130.33333333333334
2019,42,119.0,126.0,146.0,66.0,122.66666666666667
2019,43,123.0,119.0,126.0,84.0,122.33333333333333
2019,44,125.0,123.0,119.0,113.0,119.33333333333333
2019,45,110.0,125.0,123.0,52.0,114.33333333333333
2019,46,108.0,110.0,125.0,46.0,111.33333333333333
2019,47,116.0,108.0,110.0,73.0,114.66666666666667
